candle_end_time,open,high,low,close,amount,info
2023-02-13,36.162,36.242,35.332,35.982,825181.000,
2023-02-14,36.042,36.322,35.772,36.262,486077.000,
2023-02-15,36.262,36.352,35.262,35.432,771048.000,
2023-02-16,35.462,36.112,35.282,35.532,654152.000,
2023-02-17,35.412,35.642,34.942,34.972,575813.000,
2023-02-20,35.082,36.772,35.082,36.752,1080228.000,
2023-02-21,36.692,37.082,36.392,36.952,530465.000,
2023-02-22,36.722,36.862,36.402,36.422,383091.000,
2023-02-23,36.422,37.032,36.422,36.532,370638.000,
2023-02-24,36.432,36.512,35.662,35.722,533690.000,
2023-02-27,35.532,35.842,35.352,35.422,449334.000,
2023-02-28,35.432,35.742,35.112,35.572,378226.000,
2023-03-01,35.512,36.602,35.462,36.512,571194.000,
2023-03-02,36.302,36.762,36.032,36.512,349070.000,
2023-03-03,36.762,37.032,36.162,36.512,357114.000,
2023-03-06,36.282,36.492,35.172,35.262,810519.000,
2023-03-07,35.152,35.742,34.672,34.822,737411.000,
2023-03-08,34.512,34.582,34.062,34.262,616584.000,
2023-03-09,34.262,34.342,33.762,33.842,539996.000,
2023-03-10,33.312,33.922,33.212,33.292,558454.000,
2023-03-13,33.182,33.642,32.972,33.312,584205.000,
2023-03-14,32.942,33.192,32.602,32.842,626668.000,
2023-03-15,33.412,33.972,33.142,33.142,676384.000,
2023-03-16,32.762,33.412,32.472,32.912,403895.000,
2023-03-17,33.282,33.632,32.282,32.622,832716.000,
2023-03-20,32.702,33.172,32.282,32.382,520725.000,
2023-03-21,32.472,32.762,32.272,32.492,367475.000,
2023-03-22,32.782,32.992,32.542,32.802,459867.000,
2023-03-23,32.662,33.602,32.582,33.462,542146.000,
2023-03-24,33.242,33.242,32.492,32.692,678718.000,
2023-03-27,32.862,32.862,32.312,32.472,449836.000,
2023-03-28,32.672,32.982,32.442,32.662,533234.000,
2023-03-29,32.872,32.962,32.362,32.382,418630.000,
2023-03-30,32.412,32.652,31.972,32.612,562290.000,
2023-03-31,32.622,33.082,32.402,32.532,577794.000,
2023-04-03,32.572,32.712,32.242,32.632,504675.000,
2023-04-04,32.642,32.682,32.322,32.542,487821.000,
2023-04-06,32.432,32.432,31.992,32.062,486796.000,
2023-04-07,32.112,32.522,32.012,32.402,394141.000,
2023-04-10,32.412,32.562,32.232,32.502,330159.000,
2023-04-11,32.502,32.602,31.892,31.992,733992.000,
